generation,best_fitness,avg_fitness,diversity
0,23981.34634731943,-3964.3671425708358,0.9594057492678002
1,11851.165599919943,-3399.6472862091723,0.8999104474070119
2,16059.717608593824,-4969.564179088458,0.7839480004496615
3,14919.75457033449,-4298.444271910676,0.796896244938709
4,19134.80367834527,-2759.8929625184437,0.6687082954461978
5,24905.209957614967,-5417.133954071243,0.6702563086914796
6,21383.43687986758,1618.0971209564393,0.6929275849614243
7,16963.86566684743,-1188.9211784014228,0.7286943926334422
8,23705.345773609828,-423.3768151696992,0.6024677024656444
9,38837.40768937003,-178.12717010450802,0.45370531650960544
