generation,best_fitness,avg_fitness,diversity
0,3425.345208839666,-1141.5124819072666,0.9351665800479317
1,8511.945191877747,-2122.624635235274,0.9753458944231532
2,2052.242160358511,-1215.5198448305412,0.9905026144477344
3,7880.031813635527,289.8510381839891,0.8840387242442622
4,1915.002776872523,-828.9718808663534,0.7730213736675755
5,6077.9756675469,71.93511604673431,0.5409835453913304
6,2373.05334473391,-457.51967545740416,0.519708656365786
7,2551.412155114741,961.435022212263,0.31934330337060657
8,2097.1399272334224,606.2297702169236,0.3329928832497502
9,1692.0402745553283,840.8981751024452,0.3787008807896151
